index,status,reviewLevel,title,slug,sku,reasons,officialSourceUrl
1,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,2-Accessory Connector,somnosuite-y-adapter,10-4500-09,price_or_commerce_contamination | no_structured_sections | low_resolution_assets:4 | legacy_image_url_arrays_present | content_starts_with_other_products:somnoflo|somnosuite,https://www.kentscientific.com/products/somnosuite-y-adapter/
2,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,3 Accessory Connector,3-accessory-connector,10-1000-185,price_or_commerce_contamination | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present,https://www.kentscientific.com/products/3-accessory-connector/
3,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,AC Adapters and Power Cords,ac-adapters-and-power-cords,10-1000-32,summary_is_other_product:activated-charcoal-absorption-filters-1 | price_or_commerce_contamination | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:activated-charcoal-absorption-filters-1|coda-monitor|mousestat-jr|physiosuite|righttemp,https://www.kentscientific.com/products/ac-adapters-and-power-cords/
4,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Accuris™ Mini Balances,accuris-mini-balances,SCL-W1005-100,summary_is_other_product:animal-weighing-scale | price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | low_resolution_assets:2 | legacy_image_url_arrays_present | content_starts_with_other_products:animal-weighing-scale,https://www.kentscientific.com/products/accuris-mini-balances/
5,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Acrylic Brain Matrices,acrylic-brain-matrices,RBMA-200C,summary_is_other_product:microvette-100-capillary-blood-collection-with-round-bottom-inner-tube-edta | price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | low_resolution_assets:5 | legacy_image_url_arrays_present | content_starts_with_other_products:microvette-100-capillary-blood-collection-with-round-bottom-inner-tube-edta,https://www.kentscientific.com/products/acrylic-brain-matrices/
6,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Activated Charcoal Absorption Filters,activated-charcoal-absorption-filters-1,10-2001-8,price_or_commerce_contamination | no_structured_sections | duplicate_variant_sku:10-2001-8 | low_resolution_assets:4 | legacy_image_url_arrays_present | content_starts_with_other_products:somnosuite,https://www.kentscientific.com/products/activated-charcoal-absorption-filters-1/
7,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Aeroneb® Lab Control Module,aeroneb-lab-control-module,NEB-7000,summary_is_other_product:aeroneb-lab-nebulizer-unit | supplier_support_contamination | no_structured_sections | low_resolution_assets:4 | legacy_image_url_arrays_present | content_starts_with_other_products:aeroneb-lab-nebulizer-unit,https://www.kentscientific.com/products/aeroneb-lab-control-module/
8,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Aeroneb® Lab Control Module Kit,aeroneb-lab-control-module-kit,NEB-7000SM,summary_is_other_product:standalone-flowmeter-with-stand-0-05lpm | price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:aeroneb-lab-control-module|nose-cone-nebulizer-delivery-system|standalone-flowmeter-with-stand-0-05lpm,https://www.kentscientific.com/products/aeroneb-lab-control-module-kit/
9,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Aeroneb® Lab Nebulizer,aeroneb-lab-nebulizer-unit,NEB-1000,summary_is_other_product:aeroneb-lab-control-module | price_or_commerce_contamination | supplier_support_contamination | no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:aeroneb-lab-control-module|anesthesia-mask-nebulizer-delivery-system,https://www.kentscientific.com/products/aeroneb-lab-nebulizer-unit/
10,NEEDS_FIX,DIRECT_OFFICIAL_DETAIL_REVIEW,Analog Output Cable,analog-output-cable,CBL-ANAOUT-MINI,no_structured_sections | low_resolution_assets:3 | legacy_image_url_arrays_present | content_starts_with_other_products:physiosuite|somnosuite,https://www.kentscientific.com/products/analog-output-cable/
