index,status,title,slug,sku,verificationStatus,managedImageCount,legacyImageUrlCount,managedImageUrls,legacyImageUrls,sourceUrl
1,MANAGED_MULTI_REVIEW,2-Accessory Connector,somnosuite-y-adapter,10-4500-09,UNVERIFIED,6,7,https://cdn.sanity.io/images/9b5twpc8/production/d2fc850b1d5739d56ad9a82d0ea2a9ce1392fd1e-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/79fe746515305d8f1c54663267ed2260fef41214-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/9956849d5fa400fdd4986f04ee460b754d06ff19-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/1f174ea66eea81b5fe12de9aa58bf32c586a6ed8-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/66f5b5f2537cc7b597734daf52ad074237d68348-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/c7e7cef91703ad046c96e2feaf3825eb508c34ec-100x100.png,https://cdn.sanity.io/images/9b5twpc8/production/d2fc850b1d5739d56ad9a82d0ea2a9ce1392fd1e-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/79fe746515305d8f1c54663267ed2260fef41214-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/9956849d5fa400fdd4986f04ee460b754d06ff19-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/1f174ea66eea81b5fe12de9aa58bf32c586a6ed8-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/66f5b5f2537cc7b597734daf52ad074237d68348-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/c7e7cef91703ad046c96e2feaf3825eb508c34ec-100x100.png | https://www.kentscientific.com/wp-content/uploads/2025/09/SOMNO-0602_10-4500_4_5-600x600.png,https://www.kentscientific.com/products/somnosuite-y-adapter/
2,MANAGED_MULTI_REVIEW,3 Accessory Connector,3-accessory-connector,10-1000-185,UNVERIFIED,4,1,https://cdn.sanity.io/images/9b5twpc8/production/5df29c5a2343df2555c8b249d66085c351b586e1-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/2396abcd4e8e3c2a5dfe46c00c2f096224a076f3-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/4e2868249f4dd42b7ed3ae6b4ef8f097b4f64cde-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/56e01a83cb614dfcde6e61aeb241ada4d8fd89a0-100x100.png,https://www.kentscientific.com/wp-content/uploads/2025/09/CBL-ANAOUT-MINI_4_5.png,https://www.kentscientific.com/products/3-accessory-connector/
3,MANAGED_MULTI_REVIEW,AC Adapters and Power Cords,ac-adapters-and-power-cords,10-1000-32,UNVERIFIED,4,3,https://cdn.sanity.io/images/9b5twpc8/production/cbd57f22a5e2f103b478383a29230d5077467a91-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/56e01a83cb614dfcde6e61aeb241ada4d8fd89a0-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/2396abcd4e8e3c2a5dfe46c00c2f096224a076f3-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/63aed9fb2b603b01f99b2b6d0f19f4a1d2324d68-100x100.png,https://www.kentscientific.com/wp-content/uploads/2025/09/10-1000-32_silo.png | https://www.kentscientific.com/wp-content/uploads/2025/09/10-1000-35_silo.png | https://www.kentscientific.com/wp-content/uploads/2025/09/PWRCRD-US_silo.png,https://www.kentscientific.com/products/ac-adapters-and-power-cords/
4,MANAGED_MULTI_REVIEW,Accuris™ Mini Balances,accuris-mini-balances,SCL-W1005-100,UNVERIFIED,3,2,https://cdn.sanity.io/images/9b5twpc8/production/cd4caa893ccef63e4ffffd018edd982ce058a7a2-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/e721c9e1bbac53a82037651e189993365625f1b5-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/b7e21572688035011abf1f861ac0787460a91833-100x100.png,https://www.kentscientific.com/wp-content/uploads/2025/09/W4000-2.png | https://www.kentscientific.com/wp-content/uploads/2025/09/SCL-W1005-100-2.png,https://www.kentscientific.com/products/accuris-mini-balances/
5,MANAGED_MULTI_REVIEW,Acrylic Brain Matrices,acrylic-brain-matrices,RBMA-200C,UNVERIFIED,6,1,https://cdn.sanity.io/images/9b5twpc8/production/a721c5b3b6d81d80286ca2bb75158bd73734ac51-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/712729ee63dc21afe09ec9dcf202f9e4f30ccbcd-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/5df0b5b9b2ba5c640bd631067d680d5c1c739a10-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/40e628f0f2b80c301460982e01cf5838e74a9673-300x207.jpg | https://cdn.sanity.io/images/9b5twpc8/production/a0f7df053aba73eb6c27fd78613cba647c008e08-300x207.jpg | https://cdn.sanity.io/images/9b5twpc8/production/f39c611921cbfd29e957ce5661ae9bd6f0828aed-168x142.jpg,https://www.kentscientific.com/wp-content/uploads/2025/09/BRAIN_MATRIX_ACR_ANGLE_silo.png,https://www.kentscientific.com/products/acrylic-brain-matrices/
6,MANAGED_MULTI_REVIEW,Activated Charcoal Absorption Filters,activated-charcoal-absorption-filters-1,10-2001-8,UNVERIFIED,6,2,https://cdn.sanity.io/images/9b5twpc8/production/322751785dcf6a2fbdca347667d01459849dbee0-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/49c3317f6f6c096ebfc9961ced645149d7a8ac02-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/63aed9fb2b603b01f99b2b6d0f19f4a1d2324d68-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/cc8fab9871bb521d593934595de2cf65255ce8b2-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/56e01a83cb614dfcde6e61aeb241ada4d8fd89a0-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/001b68a75b33afd01ae48abfe74058e2705ceaa4-100x100.png,https://www.kentscientific.com/wp-content/uploads/2025/09/SOMNO-2001-8_silo.png | https://www.kentscientific.com/wp-content/uploads/2025/09/SOMNO-2001H_ANG_silo.png,https://www.kentscientific.com/products/activated-charcoal-absorption-filters-1/
7,MANAGED_MULTI_REVIEW,Aeroneb® Lab Control Module,aeroneb-lab-control-module,NEB-7000,UNVERIFIED,5,1,https://cdn.sanity.io/images/9b5twpc8/production/ed52dc8917140deef9d278dfb0cd2345393d83be-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/a00c6ea116e391c4f9df7231fe013446e7b5ed99-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/6a2c047f542e7f39870cbe5ce4e284da4217b581-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/1bae060bf9fe2c40e367ea65efd1874a73846ef2-200x193.jpg | https://cdn.sanity.io/images/9b5twpc8/production/c15ce582d823ca9b2a94fc75ea66021cd8f144f0-200x191.jpg,https://www.kentscientific.com/wp-content/uploads/2025/09/Aeroneb-Lab.png,https://www.kentscientific.com/products/aeroneb-lab-control-module/
8,MANAGED_MULTI_REVIEW,Aeroneb® Lab Control Module Kit,aeroneb-lab-control-module-kit,NEB-7000SM,UNVERIFIED,4,1,https://cdn.sanity.io/images/9b5twpc8/production/7d8e83aae52313f1bc43558ef5395d139bc5a09f-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/227897f494ec9ad728c324cb0ca8ddb86c315e63-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/e344fffc2ee1cb9033a285e90112077683e076be-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/437a1bd79fd4cc9b5bcdc03853d178fd2758145b-100x100.png,https://www.kentscientific.com/wp-content/uploads/2025/09/NEB-7000SM-1.png,https://www.kentscientific.com/products/aeroneb-lab-control-module-kit/
9,MANAGED_MULTI_REVIEW,Aeroneb® Lab Nebulizer,aeroneb-lab-nebulizer-unit,NEB-1000,UNVERIFIED,4,2,https://cdn.sanity.io/images/9b5twpc8/production/1d30c2926aa03f676ced3e3844bb51ddbb2827aa-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/6a2c047f542e7f39870cbe5ce4e284da4217b581-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/a00c6ea116e391c4f9df7231fe013446e7b5ed99-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/4fda6ee4f67b57dc88cfaa2d7d59e672de5fd2b9-100x100.png,https://www.kentscientific.com/wp-content/uploads/2025/09/neb-1100-1.png | https://www.kentscientific.com/wp-content/uploads/2025/09/OCC-L_cuff_only-1.png,https://www.kentscientific.com/products/aeroneb-lab-nebulizer-unit/
10,MANAGED_MULTI_REVIEW,Analog Output Cable,analog-output-cable,CBL-ANAOUT-MINI,UNVERIFIED,4,1,https://cdn.sanity.io/images/9b5twpc8/production/571dc7fad45d88df694612a42833adf0c6e29419-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/43eef70cd96e9bfc895d061d61dac7bfe08c7974-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/9779765080e1d8811fb7e021237fb5149894e163-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/48e24f4b27b41f64b2399b87fba003bf7e3fee23-100x100.png,https://www.kentscientific.com/wp-content/uploads/2025/09/CBL-ANAOUT-MINI_4_5-1.png,https://www.kentscientific.com/products/analog-output-cable/
