index,sanityId,title,slug,sku,sourceUrl,categoryPath,productType,isActive,recordType,verificationStatus,galleryAssetCount,galleryImageUrlCount,rawImageUrlCount,sectionCount,variantCount,optionGroupCount,officialTitle,officialSubtitle,officialSku,officialSourceUrl,officialGalleryCount,officialSectionCount,verifiedAt,notes
1,prod_kent__somnosuite-y-adapter,2-Accessory Connector,somnosuite-y-adapter,10-4500-09,https://www.kentscientific.com/products/somnosuite-y-adapter/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNRESOLVED,6,0,6,0,3,1,,,,https://www.kentscientific.com/products/somnosuite-y-adapter/,0,0,2026-07-28T09:28:05.228Z,preflight=UNRESOLVED; official_fetch_failed:403 Forbidden
2,prod_kent__3-accessory-connector,3 Accessory Connector,3-accessory-connector,10-1000-185,https://www.kentscientific.com/products/3-accessory-connector/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNVERIFIED,4,0,1,0,2,1,,,,,,,,
3,prod_kent__ac-adapters-and-power-cords,AC Adapters and Power Cords,ac-adapters-and-power-cords,10-1000-32,https://www.kentscientific.com/products/ac-adapters-and-power-cords/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNVERIFIED,4,0,3,0,3,1,,,,,,,,
4,prod_kent__accuris-mini-balances,Accuris™ Mini Balances,accuris-mini-balances,SCL-W1005-100,https://www.kentscientific.com/products/accuris-mini-balances/,laboratory-animal-handling > scales,variant,true,PRODUCT,UNVERIFIED,3,0,2,0,4,1,,,,,,,,
5,prod_kent__acrylic-brain-matrices,Acrylic Brain Matrices,acrylic-brain-matrices,RBMA-200C,https://www.kentscientific.com/products/acrylic-brain-matrices/,tissue-collection > brain-matricies,variant,true,PRODUCT,UNVERIFIED,6,0,1,0,4,1,,,,,,,,
6,prod_kent__activated-charcoal-absorption-filters-1,Activated Charcoal Absorption Filters,activated-charcoal-absorption-filters-1,10-2001-8,https://www.kentscientific.com/products/activated-charcoal-absorption-filters-1/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNVERIFIED,6,0,2,0,3,1,,,,,,,,
7,prod_kent__aeroneb-lab-control-module,Aeroneb® Lab Control Module,aeroneb-lab-control-module,NEB-7000,https://www.kentscientific.com/products/aeroneb-lab-control-module/,nebulizers,simple,true,PRODUCT,UNVERIFIED,5,0,1,0,0,0,,,,,,,,
8,prod_kent__aeroneb-lab-control-module-kit,Aeroneb® Lab Control Module Kit,aeroneb-lab-control-module-kit,NEB-7000SM,https://www.kentscientific.com/products/aeroneb-lab-control-module-kit/,nebulizers,variant,true,PRODUCT,UNVERIFIED,4,0,1,0,2,1,,,,,,,,
9,prod_kent__aeroneb-lab-nebulizer-unit,Aeroneb® Lab Nebulizer,aeroneb-lab-nebulizer-unit,NEB-1000,https://www.kentscientific.com/products/aeroneb-lab-nebulizer-unit/,nebulizers,variant,true,PRODUCT,UNVERIFIED,4,0,2,0,2,1,,,,,,,,
10,prod_kent__analog-output-cable,Analog Output Cable,analog-output-cable,CBL-ANAOUT-MINI,https://www.kentscientific.com/products/analog-output-cable/,physiological-monitoring-accessories,simple,true,PRODUCT,UNVERIFIED,4,0,1,0,0,0,,,,,,,,
11,prod_kent__anesthesia-mask-nebulizer-delivery-system,Anesthesia Mask Nebulizer Delivery System,anesthesia-mask-nebulizer-delivery-system,NEB-0801,https://www.kentscientific.com/products/anesthesia-mask-nebulizer-delivery-system/,nebulizers,variant,true,PRODUCT,UNVERIFIED,6,0,2,0,4,1,,,,,,,,
12,prod_kent__anesthesia-mask-tubing-kits-for-intubation,Anesthesia Mask Tubing Kits for Intubation,anesthesia-mask-tubing-kits-for-intubation,N/A,https://www.kentscientific.com/products/anesthesia-mask-tubing-kits-for-intubation/,ventilation > intubation,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,2,1,,,,,,,,
13,prod_kent__anesthesia-masks-breathing-circuits-for-somnosuite,Anesthesia Masks Breathing Circuits for SomnoSuite®,anesthesia-masks-breathing-circuits-for-somnosuite,SOMNO-0304,https://www.kentscientific.com/products/anesthesia-masks-breathing-circuits-for-somnosuite/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,5,1,,,,,,,,
14,prod_kent__anesthesia-masks-breathing-circuits-for-traditional-vaporizers,Anesthesia Masks Breathing Circuits for Traditional Vaporizers,anesthesia-masks-breathing-circuits-for-traditional-vaporizers,VETFLO-0304,https://www.kentscientific.com/products/anesthesia-masks-breathing-circuits-for-traditional-vaporizers/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,5,1,,,,,,,,
15,prod_kent__anesthetic-depth-indicator,Anesthetic Depth Indicator,anesthetic-depth-indicator,ANEST-IND,https://www.kentscientific.com/products/anesthetic-depth-indicator/,anesthesia > anesthesia-accessories,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
16,prod_kent__angled-5-tweezer-kit,Angled 5 Tweezer Kit,angled-5-tweezer-kit,INS750-KIT,https://www.kentscientific.com/products/angled-5-tweezer-kit/,surgery > surgical-instruments > surgical-tweezers,simple,true,PRODUCT,UNVERIFIED,3,0,3,0,0,0,,,,,,,,
17,prod_kent__chamber-nebulizer-delivery-system,Animal Chamber Nebulizer Delivery System,chamber-nebulizer-delivery-system,NEB-0530LG,https://www.kentscientific.com/products/chamber-nebulizer-delivery-system/,nebulizers,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,4,1,,,,,,,,
18,prod_kent__nose-cone-nebulizer-delivery-system,Animal Holder Nebulizer Delivery System,nose-cone-nebulizer-delivery-system,NEB-MS,https://www.kentscientific.com/products/nose-cone-nebulizer-delivery-system/,nebulizers,variant,true,PRODUCT,UNVERIFIED,5,0,5,0,7,2,,,,,,,,
19,prod_kent__animal-weighing-scale,Animal Weighing Scale,animal-weighing-scale,SCL-4000,https://www.kentscientific.com/products/animal-weighing-scale/,laboratory-animal-handling > scales,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
20,prod_kent__anipill,AniPill,anipill,,https://www.kentscientific.com/products/anipill/,physiological-monitoring,simple,true,PRODUCT,UNVERIFIED,3,0,3,0,0,0,,,,,,,,
21,prod_kent__anti-spill-device-for-funnel-filled-vaporizers,Anti-Spill Device for Funnel Filled Vaporizers,anti-spill-device-for-funnel-filled-vaporizers,VETFLO-7105,https://www.kentscientific.com/products/anti-spill-device-for-funnel-filled-vaporizers/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,2,1,,,,,,,,
22,prod_kent__somnosuite-anti-spill-anti-vapor-bottle-top-adapter,"Anti-Spill, Anti-Vapor Bottle Top Adapter",somnosuite-anti-spill-anti-vapor-bottle-top-adapter,SOMNO-FILL-SEVO,https://www.kentscientific.com/products/somnosuite-anti-spill-anti-vapor-bottle-top-adapter/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNVERIFIED,6,0,6,0,2,1,,,,,,,,
23,prod_kent__arco-se,ARCO® SE Kit,arco-se,CL8786-KIT,https://www.kentscientific.com/products/arco-se/,clippers,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
24,prod_kent__autoclip-applier,Autoclip Applier,autoclip-applier,INS750545,https://www.kentscientific.com/products/autoclip-applier/,surgery > surgical-instruments > wound-closure > autoclips,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
25,prod_kent__autoclips-9-mm,Autoclips 9 mm,autoclips-9-mm,INS750546,https://www.kentscientific.com/products/autoclips-9-mm/,surgery > surgical-instruments > wound-closure > autoclips,simple,true,PRODUCT,UNVERIFIED,3,0,3,0,0,0,,,,,,,,
26,prod_kent__bluetooth-low-energy-handheld-reader,Bluetooth Low Energy Handheld Reader,bluetooth-low-energy-handheld-reader,LID-710,https://www.kentscientific.com/products/bluetooth-low-energy-handheld-reader/,rfid-transponder-system,variant,true,PRODUCT,UNVERIFIED,3,0,3,0,2,1,,,,,,,,
27,prod_kent__cannula-adapter,Cannula Adapter,cannula-adapter,3468ADH,https://www.kentscientific.com/products/cannula-adapter/,physiological-monitoring-accessories,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
28,prod_kent__castroviejo-needle-holder-serrated,Castroviejo Needle Holder Serrated,castroviejo-needle-holder-serrated,INS600137,https://www.kentscientific.com/products/castroviejo-needle-holder-serrated/,surgery > surgical-instruments > needle-holders,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
29,prod_kent__coda-animal-holders,CODA® Animal Holders,coda-animal-holders,HLD-ML,https://www.kentscientific.com/products/coda-animal-holders/,noninvasive-blood-pressure-accessories,variant,true,PRODUCT,UNVERIFIED,3,0,3,0,7,1,,,,,,,,
30,prod_kent__coda-cuff-storage-container,CODA® Cuff Storage Container,coda-cuff-storage-container,CODA-CSC,https://www.kentscientific.com/products/coda-cuff-storage-container/,noninvasive-blood-pressure > noninvasive-blood-pressure-accessories > accessories-for-coda-monitor > coda-cuffs,simple,true,PRODUCT,UNVERIFIED,6,0,6,0,0,0,,,,,,,,
31,prod_kent__coda-data-acquisition-software,CODA® Data Acquisition Software,coda-data-acquisition-software,CODA-PCS42,https://www.kentscientific.com/products/coda-data-acquisition-software/,noninvasive-blood-pressure > noninvasive-blood-pressure-accessories > accessories-for-coda-monitor,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
32,prod_kent__coda-high-throughput-cuff-kits,CODA® High Throughput Cuff Kits,coda-high-throughput-cuff-kits,MSE-CUFFKIT,https://www.kentscientific.com/products/coda-high-throughput-cuff-kits/,noninvasive-blood-pressure > noninvasive-blood-pressure-accessories > accessories-for-coda-monitor > coda-cuffs,variant,true,PRODUCT,UNVERIFIED,11,0,11,0,4,1,,,,,,,,
